id,comida_preferida,frecuencia_consumo,gasto_promedio,satisfaccion_producto,satisfaccion_servicio,tiempo_entrega,precio_percepcion,recomendaria,volveria_comprar,calificacion_general
2191,Hot Dogs,Mensual,91,10,9,Lento,Medio,0,False,7
2192,Tacos,Diario,78,8,7,Rápido,Medio,8,False,2
2193,Tacos,Quincenal,50,8,0,Aceptable,Bajo,2,False,7
2194,Pollo Frito,Semanal,68,10,9,Rápido,Alto,2,True,6
2195,Hot Dogs,Semanal,88,10,6,Lento,Medio,2,False,5
2196,Tacos,Diario,63,0,9,Aceptable,Medio,6,False,10
2197,Hot Dogs,Quincenal,66,0,7,Aceptable,Alto,1,False,7
2198,Tacos,Quincenal,80,10,8,Rápido,Bajo,6,False,10
2199,Pollo Frito,Semanal,93,9,9,Aceptable,Bajo,6,False,10
2200,Tacos,Mensual,96,7,8,Lento,Bajo,7,False,4
2201,Pizza,Mensual,25,3,8,Rápido,Medio,7,True,3
2202,Hamburguesas,Mensual,23,9,8,Aceptable,Bajo,1,False,7
2203,Hot Dogs,Mensual,104,0,10,Aceptable,Medio,7,True,5
2204,Pollo Frito,Mensual,71,9,1,Lento,Bajo,4,False,3
2205,Pizza,Mensual,96,3,3,Aceptable,Bajo,8,True,3
2206,Tacos,Quincenal,72,2,7,Rápido,Alto,1,False,9
2207,Hot Dogs,Mensual,55,8,8,Lento,Alto,6,True,8
2208,Hamburguesas,Quincenal,21,5,1,Rápido,Alto,0,True,1
2209,Pollo Frito,Semanal,105,0,5,Aceptable,Bajo,3,False,1
2210,Tacos,Semanal,102,10,7,Lento,Medio,3,True,2
2211,Pizza,Diario,25,5,8,Lento,Alto,4,True,6
2212,Hamburguesas,Diario,78,3,5,Lento,Medio,10,False,10
2213,Hamburguesas,Diario,45,4,6,Lento,Alto,5,False,8
2214,Tacos,Mensual,87,1,6,Aceptable,Medio,4,False,8
2215,Hamburguesas,Diario,25,7,4,Aceptable,Bajo,8,False,3
2216,Hot Dogs,Quincenal,90,3,0,Lento,Medio,5,True,5
2217,Pizza,Quincenal,70,5,8,Rápido,Medio,0,True,8
2218,Pizza,Mensual,63,10,4,Lento,Alto,1,True,7
2219,Hamburguesas,Semanal,96,10,2,Lento,Alto,6,True,7
2220,Hot Dogs,Quincenal,39,5,10,Lento,Medio,2,True,6
2221,Hot Dogs,Quincenal,33,1,3,Rápido,Alto,7,False,9
2222,Hamburguesas,Quincenal,46,2,2,Aceptable,Medio,1,True,2
2223,Pollo Frito,Quincenal,101,8,5,Rápido,Bajo,6,False,4
2224,Tacos,Diario,90,4,3,Aceptable,Alto,10,True,6
2225,Tacos,Diario,26,3,1,Aceptable,Alto,7,True,9
2226,Pizza,Diario,34,7,7,Aceptable,Alto,0,False,0
2227,Pollo Frito,Quincenal,21,3,9,Lento,Alto,9,False,8
2228,Hot Dogs,Quincenal,62,7,8,Lento,Medio,6,True,4
2229,Hot Dogs,Semanal,77,9,5,Aceptable,Bajo,9,True,9
2230,Hot Dogs,Quincenal,83,8,2,Aceptable,Medio,6,True,7
2231,Hot Dogs,Semanal,54,5,5,Aceptable,Medio,2,True,9
2232,Hot Dogs,Mensual,20,2,1,Lento,Medio,9,True,9
2233,Pollo Frito,Semanal,74,5,6,Aceptable,Medio,7,False,4
2234,Hamburguesas,Quincenal,75,3,8,Lento,Alto,9,True,7
2235,Hot Dogs,Quincenal,23,10,3,Rápido,Alto,1,True,3
2236,Pollo Frito,Mensual,106,8,8,Rápido,Bajo,5,True,4
2237,Hamburguesas,Semanal,84,7,1,Rápido,Medio,5,True,6
2238,Hot Dogs,Quincenal,30,9,10,Lento,Medio,7,False,5
2239,Pizza,Mensual,69,2,10,Rápido,Medio,0,True,4
2240,Tacos,Mensual,67,6,10,Aceptable,Medio,5,True,9
2241,Pollo Frito,Diario,68,5,1,Rápido,Medio,6,True,1
2242,Pizza,Semanal,22,6,6,Rápido,Alto,10,True,8
2243,Pizza,Diario,38,4,10,Rápido,Medio,3,False,3
2244,Hot Dogs,Semanal,93,0,2,Lento,Alto,5,True,1
2245,Pollo Frito,Semanal,24,10,10,Aceptable,Medio,8,False,1
2246,Hot Dogs,Mensual,69,9,0,Lento,Medio,2,True,3
2247,Tacos,Diario,44,6,5,Lento,Bajo,2,True,10
2248,Pizza,Quincenal,29,9,10,Rápido,Alto,5,True,0
2249,Pizza,Diario,109,7,0,Aceptable,Medio,4,True,2
2250,Hot Dogs,Mensual,59,6,4,Lento,Bajo,0,False,2
2251,Pollo Frito,Quincenal,116,5,2,Rápido,Alto,5,False,10
2252,Hot Dogs,Semanal,67,6,10,Rápido,Medio,9,False,0
2253,Pizza,Mensual,118,8,10,Aceptable,Alto,9,False,5
2254,Hot Dogs,Diario,32,8,8,Rápido,Alto,1,False,2
2255,Hamburguesas,Semanal,31,4,8,Aceptable,Bajo,5,False,6
2256,Pollo Frito,Semanal,100,1,5,Rápido,Alto,7,False,10
2257,Pollo Frito,Mensual,31,5,0,Aceptable,Medio,5,True,10
2258,Pizza,Semanal,104,4,9,Lento,Bajo,4,False,6
2259,Tacos,Semanal,102,2,0,Aceptable,Alto,0,False,8
2260,Hot Dogs,Quincenal,54,6,2,Rápido,Bajo,6,True,2
2261,Pollo Frito,Mensual,33,8,2,Rápido,Medio,0,False,4
2262,Tacos,Diario,25,1,9,Lento,Medio,2,False,3
2263,Pizza,Quincenal,97,9,2,Aceptable,Alto,7,False,0
2264,Pollo Frito,Semanal,49,10,7,Lento,Bajo,3,True,0
2265,Pollo Frito,Quincenal,118,6,9,Rápido,Bajo,4,True,6
2266,Tacos,Quincenal,31,3,7,Lento,Bajo,1,False,2
2267,Hot Dogs,Quincenal,87,1,7,Rápido,Bajo,4,False,7
2268,Pollo Frito,Semanal,22,2,0,Rápido,Bajo,3,False,5
2269,Hot Dogs,Diario,91,8,7,Rápido,Bajo,5,False,3
2270,Pollo Frito,Quincenal,36,5,9,Lento,Bajo,9,True,8
2271,Pollo Frito,Mensual,83,1,8,Lento,Bajo,9,True,2
2272,Tacos,Diario,119,3,3,Aceptable,Bajo,0,True,3
2273,Pollo Frito,Quincenal,63,3,4,Aceptable,Medio,10,False,1
2274,Hot Dogs,Mensual,79,3,8,Aceptable,Bajo,8,False,5
2275,Hamburguesas,Mensual,104,0,2,Aceptable,Bajo,4,False,0
2276,Tacos,Mensual,75,5,5,Rápido,Bajo,2,False,1
2277,Tacos,Quincenal,77,10,0,Rápido,Bajo,3,False,1
2278,Pollo Frito,Semanal,77,2,4,Rápido,Medio,1,True,4
2279,Tacos,Semanal,25,1,7,Aceptable,Bajo,8,False,7
2280,Hamburguesas,Mensual,81,7,0,Lento,Alto,1,False,5
2281,Tacos,Quincenal,102,8,9,Rápido,Medio,4,False,4
2282,Hamburguesas,Mensual,93,5,2,Lento,Alto,6,False,7
2283,Pollo Frito,Semanal,61,8,6,Lento,Alto,6,False,5
2284,Tacos,Mensual,39,8,3,Rápido,Bajo,10,True,10
2285,Hamburguesas,Semanal,90,2,1,Rápido,Alto,7,False,2
2286,Hot Dogs,Mensual,97,7,8,Lento,Alto,8,False,9
2287,Pizza,Quincenal,51,1,3,Lento,Bajo,6,False,6
2288,Hamburguesas,Mensual,60,6,10,Rápido,Bajo,3,True,6
2289,Hot Dogs,Semanal,92,5,1,Lento,Alto,9,False,6
2290,Hot Dogs,Semanal,89,3,4,Lento,Medio,2,False,9
2291,Pollo Frito,Diario,45,10,3,Rápido,Medio,2,False,2
2292,Pizza,Semanal,45,9,3,Lento,Medio,3,True,9
2293,Tacos,Semanal,96,4,9,Aceptable,Bajo,4,True,10
2294,Pizza,Diario,57,6,3,Lento,Medio,0,True,5
2295,Hamburguesas,Quincenal,101,4,5,Rápido,Bajo,4,False,8
2296,Hot Dogs,Quincenal,38,3,10,Aceptable,Medio,3,False,8
2297,Pollo Frito,Quincenal,100,5,6,Lento,Bajo,2,False,7
2298,Hamburguesas,Diario,96,8,4,Aceptable,Medio,5,True,2
2299,Pizza,Diario,52,0,4,Aceptable,Alto,9,False,1
2300,Hamburguesas,Quincenal,77,9,6,Lento,Bajo,8,True,6
2301,Pollo Frito,Quincenal,53,8,8,Lento,Alto,9,True,5
2302,Hot Dogs,Semanal,92,2,3,Lento,Bajo,10,False,9
2303,Tacos,Diario,96,10,0,Aceptable,Medio,1,False,2
2304,Pizza,Mensual,53,9,4,Rápido,Bajo,3,False,4
2305,Tacos,Mensual,100,0,6,Lento,Alto,3,False,8
2306,Hamburguesas,Mensual,52,7,1,Aceptable,Alto,6,False,9
2307,Hot Dogs,Quincenal,63,4,9,Aceptable,Medio,2,True,2
2308,Pizza,Diario,112,2,6,Lento,Bajo,2,False,1
2309,Hot Dogs,Diario,91,10,10,Aceptable,Alto,1,True,6
2310,Hot Dogs,Diario,60,6,3,Lento,Bajo,0,True,5
2311,Pollo Frito,Quincenal,67,8,8,Lento,Alto,9,True,8
2312,Pizza,Mensual,68,3,4,Aceptable,Alto,1,False,2
2313,Pollo Frito,Quincenal,90,9,5,Aceptable,Bajo,6,False,5
2314,Hot Dogs,Diario,49,9,5,Rápido,Bajo,0,True,1
2315,Pizza,Mensual,42,4,7,Aceptable,Bajo,9,True,9
2316,Pizza,Diario,24,0,10,Rápido,Alto,4,True,4
2317,Hot Dogs,Semanal,80,8,7,Rápido,Bajo,0,True,2
2318,Pollo Frito,Mensual,83,7,4,Aceptable,Bajo,7,False,10
2319,Hot Dogs,Semanal,81,0,7,Rápido,Medio,10,False,10
2320,Pizza,Mensual,63,7,10,Lento,Medio,9,False,9
2321,Pizza,Quincenal,56,1,1,Rápido,Alto,1,True,7
2322,Tacos,Quincenal,23,4,0,Rápido,Alto,10,False,9
2323,Pollo Frito,Semanal,108,6,5,Lento,Bajo,3,False,9
2324,Pollo Frito,Diario,80,10,0,Rápido,Alto,10,False,8
2325,Pizza,Diario,31,0,0,Rápido,Medio,3,False,6
2326,Hamburguesas,Semanal,94,4,6,Rápido,Medio,0,True,10
2327,Pollo Frito,Semanal,52,6,6,Rápido,Medio,4,False,7
2328,Pollo Frito,Semanal,22,7,5,Aceptable,Bajo,8,True,1
2329,Pollo Frito,Semanal,80,1,9,Aceptable,Alto,5,True,3
2330,Tacos,Quincenal,118,5,7,Aceptable,Bajo,3,True,3
2331,Hamburguesas,Quincenal,94,10,0,Aceptable,Alto,7,False,1
2332,Pizza,Mensual,57,5,10,Aceptable,Medio,9,True,6
2333,Pizza,Semanal,41,1,6,Aceptable,Bajo,10,False,5
2334,Hamburguesas,Mensual,87,0,10,Rápido,Medio,8,False,2
2335,Hot Dogs,Semanal,26,4,10,Aceptable,Bajo,4,False,6
2336,Hot Dogs,Semanal,43,3,8,Lento,Bajo,3,True,2
2337,Pizza,Quincenal,39,4,0,Aceptable,Medio,7,False,5
2338,Pizza,Mensual,62,4,4,Aceptable,Medio,4,False,2
2339,Pizza,Diario,92,0,6,Lento,Medio,0,False,9
2340,Hamburguesas,Quincenal,77,2,0,Lento,Medio,5,True,10
2341,Tacos,Semanal,28,8,4,Aceptable,Alto,8,False,3
2342,Hamburguesas,Mensual,106,8,1,Rápido,Alto,4,False,7
2343,Hot Dogs,Semanal,39,0,9,Lento,Medio,0,True,9
2344,Pollo Frito,Mensual,103,5,10,Aceptable,Medio,10,True,10
2345,Hamburguesas,Semanal,33,5,7,Aceptable,Alto,3,True,9
2346,Hot Dogs,Semanal,47,8,7,Rápido,Alto,5,True,10
2347,Pizza,Mensual,113,0,4,Rápido,Bajo,8,True,2
2348,Pizza,Semanal,114,5,3,Aceptable,Medio,4,True,9
2349,Hamburguesas,Mensual,109,2,3,Aceptable,Medio,9,True,5
2350,Tacos,Diario,43,10,2,Rápido,Medio,9,False,10
2351,Pollo Frito,Mensual,106,1,8,Aceptable,Medio,6,True,2
2352,Hot Dogs,Diario,118,8,7,Aceptable,Medio,0,False,5
2353,Tacos,Diario,79,6,1,Aceptable,Medio,7,True,10
2354,Tacos,Quincenal,60,8,6,Lento,Bajo,3,False,1
2355,Hamburguesas,Quincenal,86,5,3,Rápido,Medio,8,True,2
2356,Hot Dogs,Semanal,117,0,1,Lento,Bajo,6,False,1
2357,Hamburguesas,Quincenal,55,2,7,Rápido,Alto,8,False,4
2358,Pizza,Quincenal,104,5,10,Rápido,Alto,8,False,7
2359,Tacos,Semanal,33,6,9,Aceptable,Bajo,7,True,3
2360,Pizza,Mensual,78,3,1,Aceptable,Bajo,0,True,2
2361,Hamburguesas,Mensual,93,7,5,Aceptable,Bajo,6,False,7
2362,Hot Dogs,Semanal,54,9,0,Aceptable,Bajo,4,True,3
2363,Pollo Frito,Diario,24,3,7,Rápido,Bajo,5,True,6
2364,Pollo Frito,Semanal,96,9,10,Aceptable,Alto,1,False,10
2365,Hot Dogs,Semanal,67,8,1,Aceptable,Bajo,7,False,4
2366,Tacos,Semanal,55,9,5,Lento,Medio,6,False,2
2367,Pizza,Mensual,34,10,0,Rápido,Bajo,6,False,2
2368,Pollo Frito,Quincenal,113,1,8,Rápido,Alto,7,True,6
2369,Pollo Frito,Semanal,88,2,6,Aceptable,Bajo,10,True,3
2370,Hamburguesas,Diario,85,10,8,Aceptable,Alto,5,False,7
2371,Hamburguesas,Semanal,99,7,3,Aceptable,Alto,5,True,0
2372,Hot Dogs,Mensual,81,10,1,Lento,Medio,2,False,4
2373,Pollo Frito,Quincenal,101,0,4,Lento,Medio,4,True,4
2374,Pollo Frito,Diario,35,4,0,Lento,Medio,9,True,3
2375,Pizza,Mensual,113,5,4,Lento,Bajo,7,True,3
2376,Pollo Frito,Mensual,98,8,5,Aceptable,Medio,8,False,1
2377,Hamburguesas,Mensual,66,3,3,Rápido,Medio,1,False,7
2378,Pizza,Semanal,29,2,3,Lento,Alto,3,False,10
2379,Hamburguesas,Quincenal,88,9,5,Rápido,Bajo,4,False,6
2380,Pizza,Mensual,55,2,2,Aceptable,Alto,4,True,9
2381,Tacos,Quincenal,31,10,3,Lento,Bajo,4,False,10
2382,Tacos,Diario,115,1,8,Aceptable,Medio,5,False,3
2383,Hot Dogs,Mensual,91,0,9,Rápido,Bajo,3,True,10
2384,Pizza,Semanal,33,7,1,Lento,Medio,7,True,6
2385,Pizza,Semanal,114,3,6,Rápido,Bajo,1,True,4
2386,Tacos,Mensual,93,1,3,Aceptable,Alto,8,False,6
2387,Pizza,Quincenal,78,4,4,Lento,Medio,1,False,7
2388,Pizza,Diario,77,8,7,Aceptable,Alto,9,False,6
2389,Pizza,Diario,77,8,2,Aceptable,Alto,6,True,10
2390,Pizza,Mensual,33,9,3,Aceptable,Bajo,10,True,6
2391,Pollo Frito,Mensual,96,8,1,Rápido,Alto,7,True,5
2392,Tacos,Quincenal,108,3,10,Lento,Alto,0,False,1
2393,Hot Dogs,Semanal,105,5,5,Aceptable,Alto,0,False,3
2394,Pollo Frito,Semanal,66,10,8,Aceptable,Medio,0,True,1
2395,Tacos,Semanal,74,4,10,Aceptable,Bajo,10,True,9
2396,Tacos,Mensual,83,3,8,Rápido,Bajo,0,True,6
2397,Tacos,Diario,91,0,5,Aceptable,Alto,5,True,8
2398,Pollo Frito,Diario,81,7,3,Rápido,Medio,1,True,5
2399,Pollo Frito,Semanal,97,1,5,Aceptable,Alto,8,True,10
2400,Tacos,Mensual,113,6,1,Aceptable,Medio,0,True,2
2401,Tacos,Semanal,93,10,1,Aceptable,Medio,1,True,5
2402,Hamburguesas,Quincenal,39,5,5,Lento,Bajo,7,False,8
2403,Hamburguesas,Quincenal,42,7,3,Lento,Medio,1,False,7
2404,Tacos,Mensual,95,4,4,Lento,Alto,7,True,7
2405,Hamburguesas,Quincenal,38,10,6,Rápido,Medio,6,True,7
2406,Tacos,Semanal,48,10,6,Lento,Medio,5,True,7
2407,Hot Dogs,Semanal,59,8,7,Rápido,Bajo,1,True,4
2408,Pollo Frito,Diario,72,4,7,Aceptable,Alto,5,False,3
2409,Tacos,Quincenal,70,8,6,Lento,Alto,2,True,7
2410,Pollo Frito,Quincenal,42,2,3,Lento,Bajo,5,False,10
2411,Pollo Frito,Semanal,21,3,0,Aceptable,Alto,5,True,7
2412,Hot Dogs,Diario,32,4,7,Lento,Medio,9,True,10
2413,Hot Dogs,Quincenal,34,3,5,Aceptable,Bajo,3,False,1
2414,Pollo Frito,Mensual,22,4,6,Lento,Bajo,0,True,2
2415,Tacos,Diario,119,6,9,Lento,Medio,3,True,4
2416,Pizza,Diario,48,1,10,Aceptable,Bajo,6,False,6
2417,Pollo Frito,Semanal,45,6,8,Rápido,Bajo,10,False,3
2418,Tacos,Mensual,38,6,8,Aceptable,Alto,2,False,5
2419,Hamburguesas,Mensual,82,7,10,Aceptable,Alto,4,False,3
2420,Hot Dogs,Mensual,90,4,8,Lento,Bajo,9,False,2
2421,Hamburguesas,Diario,28,1,1,Lento,Alto,2,True,4
2422,Pollo Frito,Diario,112,3,0,Rápido,Bajo,5,False,3
2423,Tacos,Quincenal,72,1,3,Lento,Medio,4,False,6
2424,Hamburguesas,Semanal,45,5,3,Rápido,Medio,5,False,8
2425,Pizza,Semanal,76,5,4,Aceptable,Bajo,9,True,4
2426,Pollo Frito,Quincenal,67,1,4,Lento,Medio,3,False,7
2427,Pollo Frito,Semanal,47,4,1,Aceptable,Bajo,3,True,9
2428,Pollo Frito,Quincenal,28,3,5,Aceptable,Alto,0,True,4
2429,Hot Dogs,Diario,73,7,7,Lento,Bajo,2,True,3
2430,Hamburguesas,Semanal,114,2,1,Rápido,Medio,4,False,10
2431,Hamburguesas,Diario,63,9,10,Lento,Medio,5,False,10
2432,Tacos,Semanal,42,4,1,Lento,Medio,5,False,7
2433,Pizza,Diario,44,4,8,Rápido,Bajo,0,True,8
2434,Hot Dogs,Quincenal,28,0,10,Aceptable,Medio,0,False,0
2435,Hamburguesas,Semanal,25,3,1,Rápido,Medio,0,False,6
2436,Pollo Frito,Semanal,63,7,2,Lento,Medio,1,False,8
2437,Hot Dogs,Diario,69,2,6,Aceptable,Medio,6,False,0
2438,Pollo Frito,Quincenal,76,6,3,Rápido,Medio,5,False,0
2439,Tacos,Quincenal,95,1,8,Aceptable,Medio,8,True,2
2440,Hamburguesas,Semanal,79,3,0,Rápido,Bajo,6,False,1
2441,Pizza,Mensual,57,2,5,Lento,Alto,9,True,3
2442,Hot Dogs,Quincenal,33,1,7,Aceptable,Bajo,4,False,1
2443,Pizza,Diario,33,2,8,Aceptable,Alto,9,True,3
2444,Pizza,Mensual,65,8,2,Rápido,Medio,7,True,2
2445,Hamburguesas,Diario,62,1,3,Rápido,Alto,10,True,10
2446,Hot Dogs,Semanal,44,6,2,Rápido,Medio,9,False,0
2447,Hamburguesas,Diario,27,4,9,Aceptable,Alto,10,False,1
2448,Tacos,Semanal,87,10,2,Lento,Bajo,9,True,4
2449,Pollo Frito,Diario,119,0,7,Aceptable,Bajo,10,False,9
2450,Hot Dogs,Quincenal,56,8,9,Rápido,Bajo,7,True,0
2451,Hot Dogs,Quincenal,64,9,1,Aceptable,Alto,0,True,8
2452,Tacos,Quincenal,56,10,10,Lento,Medio,5,True,8
2453,Hamburguesas,Semanal,107,7,4,Rápido,Bajo,6,True,8
2454,Hot Dogs,Semanal,65,7,5,Rápido,Alto,9,True,6
2455,Pizza,Quincenal,31,6,8,Aceptable,Bajo,7,True,0
2456,Pizza,Mensual,55,1,4,Aceptable,Bajo,1,False,5
2457,Pollo Frito,Mensual,60,5,4,Rápido,Alto,9,False,4
2458,Tacos,Quincenal,112,9,3,Rápido,Medio,2,False,3
2459,Hamburguesas,Semanal,20,2,10,Rápido,Alto,0,True,6
2460,Hot Dogs,Semanal,66,0,4,Rápido,Bajo,8,True,6
2461,Hamburguesas,Diario,75,9,1,Lento,Bajo,1,False,8
2462,Pizza,Diario,20,10,2,Aceptable,Bajo,0,False,10
2463,Pollo Frito,Semanal,69,1,0,Aceptable,Medio,8,True,5
2464,Tacos,Diario,50,5,0,Lento,Bajo,6,True,9
2465,Pollo Frito,Diario,51,1,7,Lento,Medio,6,True,4
2466,Pollo Frito,Mensual,112,5,7,Lento,Bajo,10,True,0
2467,Hot Dogs,Mensual,94,3,7,Aceptable,Medio,8,True,7
2468,Tacos,Diario,77,1,6,Rápido,Alto,5,True,2
2469,Pizza,Diario,98,6,10,Rápido,Alto,5,True,9
2470,Hot Dogs,Diario,65,1,1,Aceptable,Bajo,2,True,4
2471,Hot Dogs,Quincenal,100,9,0,Lento,Medio,6,False,3
2472,Hot Dogs,Mensual,45,10,7,Aceptable,Bajo,10,False,3
2473,Tacos,Quincenal,38,7,0,Aceptable,Medio,4,False,2
2474,Pizza,Diario,45,1,1,Rápido,Alto,10,False,10
2475,Hot Dogs,Mensual,84,9,0,Lento,Medio,10,False,1
2476,Hamburguesas,Semanal,112,6,7,Aceptable,Medio,10,True,7
2477,Pizza,Quincenal,66,1,3,Rápido,Medio,2,False,4
2478,Pizza,Semanal,82,4,2,Rápido,Bajo,1,True,9
2479,Pizza,Mensual,32,2,7,Rápido,Alto,3,True,8
2480,Hamburguesas,Quincenal,46,2,9,Lento,Bajo,0,True,8
2481,Tacos,Mensual,25,6,0,Rápido,Medio,2,True,7
2482,Tacos,Semanal,65,2,4,Aceptable,Bajo,3,True,9
2483,Pizza,Diario,104,10,10,Lento,Bajo,5,True,2
2484,Hot Dogs,Quincenal,106,1,7,Aceptable,Alto,5,True,6
2485,Pollo Frito,Semanal,82,2,8,Lento,Medio,6,True,2
2486,Tacos,Quincenal,77,10,5,Lento,Medio,4,False,9
2487,Pizza,Quincenal,31,5,4,Lento,Alto,0,True,0
2488,Hamburguesas,Mensual,108,0,5,Lento,Bajo,9,False,0
2489,Pizza,Diario,108,1,1,Lento,Bajo,9,True,9
2490,Pizza,Mensual,57,9,0,Rápido,Alto,5,True,10
2491,Pollo Frito,Diario,51,9,10,Rápido,Medio,6,True,2
2492,Hot Dogs,Mensual,21,10,4,Lento,Bajo,4,True,8
2493,Tacos,Mensual,83,4,3,Lento,Alto,2,False,3
2494,Tacos,Semanal,61,4,1,Lento,Bajo,1,True,0
2495,Hamburguesas,Quincenal,75,6,2,Lento,Bajo,4,False,0
2496,Pizza,Quincenal,56,7,4,Rápido,Bajo,7,False,10
2497,Pollo Frito,Diario,43,3,6,Aceptable,Medio,2,True,6
2498,Hot Dogs,Diario,116,1,7,Rápido,Medio,8,False,7
2499,Pollo Frito,Mensual,111,2,6,Lento,Medio,4,True,2
2500,Tacos,Semanal,104,7,3,Lento,Medio,8,False,4
2501,Hot Dogs,Mensual,78,8,2,Rápido,Bajo,8,True,0
2502,Hot Dogs,Semanal,67,3,0,Rápido,Medio,3,False,2
2503,Pollo Frito,Mensual,28,10,8,Lento,Alto,1,False,10
2504,Pizza,Quincenal,50,1,9,Aceptable,Bajo,1,False,3
2505,Hot Dogs,Semanal,120,5,5,Lento,Alto,6,False,3
2506,Hot Dogs,Quincenal,33,1,4,Lento,Bajo,0,True,8
2507,Hamburguesas,Diario,120,5,7,Aceptable,Bajo,9,False,7
2508,Pollo Frito,Quincenal,20,7,4,Lento,Alto,5,False,7
2509,Tacos,Mensual,79,0,6,Rápido,Alto,0,True,8
2510,Hamburguesas,Semanal,35,4,9,Lento,Medio,3,False,3
2511,Tacos,Mensual,31,4,2,Aceptable,Bajo,6,False,2
2512,Pizza,Diario,43,3,8,Lento,Alto,8,True,5
2513,Hamburguesas,Semanal,73,8,2,Lento,Bajo,2,False,10
2514,Tacos,Mensual,38,6,7,Lento,Medio,10,False,10
2515,Hot Dogs,Semanal,71,2,2,Rápido,Alto,3,False,7
2516,Tacos,Diario,74,2,8,Aceptable,Medio,9,False,8
2517,Pizza,Quincenal,25,6,0,Rápido,Alto,6,False,2
2518,Hamburguesas,Diario,87,1,4,Aceptable,Alto,3,False,3
2519,Tacos,Diario,59,1,4,Rápido,Alto,7,True,9
2520,Hot Dogs,Diario,27,9,6,Rápido,Bajo,0,True,9
2521,Hamburguesas,Quincenal,74,6,3,Aceptable,Medio,10,True,7
2522,Pollo Frito,Diario,54,6,9,Aceptable,Alto,9,False,10
2523,Pollo Frito,Mensual,21,7,0,Lento,Medio,1,False,5
2524,Pizza,Mensual,54,3,8,Lento,Alto,5,False,3
2525,Pollo Frito,Mensual,112,9,7,Aceptable,Medio,0,True,9
2526,Pollo Frito,Mensual,77,10,7,Rápido,Bajo,7,False,4
2527,Pollo Frito,Quincenal,20,7,3,Aceptable,Alto,4,False,1
2528,Hamburguesas,Diario,37,0,1,Rápido,Medio,9,False,9
2529,Pollo Frito,Mensual,53,4,5,Lento,Bajo,6,False,9
2530,Pizza,Mensual,21,6,2,Rápido,Medio,3,True,6
2531,Pizza,Quincenal,55,4,1,Aceptable,Bajo,1,False,9
2532,Tacos,Quincenal,35,10,2,Rápido,Bajo,2,False,1
2533,Tacos,Quincenal,114,10,7,Rápido,Bajo,4,False,10
2534,Hamburguesas,Quincenal,74,1,9,Rápido,Alto,0,False,8
2535,Hamburguesas,Quincenal,87,3,3,Aceptable,Alto,4,True,3
2536,Hamburguesas,Quincenal,65,8,7,Lento,Alto,10,True,10
2537,Pollo Frito,Quincenal,95,1,5,Aceptable,Bajo,4,False,3
2538,Hot Dogs,Mensual,37,0,3,Aceptable,Medio,8,True,9
2539,Hamburguesas,Mensual,93,10,0,Lento,Medio,1,True,8
2540,Tacos,Semanal,53,8,1,Aceptable,Medio,10,False,10
2541,Hot Dogs,Mensual,112,7,2,Lento,Bajo,2,False,1
2542,Tacos,Semanal,50,2,10,Lento,Bajo,2,False,5
2543,Pizza,Quincenal,104,3,3,Lento,Medio,2,False,0
2544,Pollo Frito,Semanal,55,9,1,Lento,Alto,4,False,6
2545,Hot Dogs,Semanal,53,4,10,Lento,Medio,1,True,2
2546,Hot Dogs,Quincenal,44,1,9,Rápido,Bajo,0,True,0
2547,Hamburguesas,Diario,27,9,7,Aceptable,Alto,6,False,3
2548,Hamburguesas,Mensual,108,5,0,Aceptable,Medio,10,False,7
2549,Tacos,Diario,93,7,1,Rápido,Alto,3,False,5
2550,Hot Dogs,Quincenal,106,4,4,Aceptable,Bajo,0,True,4
2551,Pollo Frito,Quincenal,107,9,1,Lento,Alto,6,True,7
2552,Pizza,Mensual,39,3,8,Rápido,Bajo,6,False,8
2553,Hot Dogs,Diario,112,10,3,Aceptable,Bajo,5,False,9
2554,Hamburguesas,Mensual,48,9,7,Aceptable,Bajo,8,False,10
2555,Hot Dogs,Mensual,84,9,2,Lento,Bajo,0,False,5
2556,Pollo Frito,Semanal,43,9,2,Rápido,Bajo,2,False,2
2557,Pizza,Semanal,54,0,6,Rápido,Bajo,4,True,2
2558,Hot Dogs,Mensual,32,5,2,Aceptable,Medio,2,True,7
2559,Tacos,Mensual,95,9,1,Rápido,Bajo,1,False,6
2560,Pizza,Quincenal,90,9,5,Lento,Medio,10,True,1
2561,Pizza,Mensual,85,4,7,Rápido,Medio,2,False,2
2562,Hamburguesas,Mensual,69,5,1,Aceptable,Alto,4,False,8
2563,Tacos,Diario,99,5,9,Lento,Alto,7,False,3
2564,Pollo Frito,Quincenal,119,9,7,Aceptable,Medio,2,True,10
2565,Hot Dogs,Diario,73,9,5,Rápido,Bajo,5,True,10
2566,Hamburguesas,Mensual,22,2,3,Aceptable,Bajo,8,False,2
2567,Pollo Frito,Quincenal,84,7,10,Aceptable,Alto,3,False,5
2568,Pollo Frito,Mensual,53,6,1,Lento,Medio,2,True,4
2569,Pizza,Semanal,67,3,4,Rápido,Medio,9,True,8
2570,Tacos,Mensual,120,2,8,Lento,Bajo,1,False,5
2571,Tacos,Diario,92,3,3,Lento,Alto,3,False,3
2572,Pollo Frito,Quincenal,95,0,6,Rápido,Medio,7,True,8
2573,Hamburguesas,Quincenal,65,7,7,Aceptable,Bajo,0,True,10
